time	V(vo)
1.000002434363015e-003	1.846105e-001
1.000002501074684e-003	1.846257e-001
1.000002568074007e-003	1.846328e-001
1.000002637007514e-003	1.846332e-001
1.000002733813399e-003	1.846246e-001
1.000002844457203e-003	1.846058e-001
1.000002968999445e-003	1.845771e-001
1.000003122052609e-003	1.845364e-001
1.000003348861514e-003	1.844746e-001
1.000003724791186e-003	1.843829e-001
1.000004073426091e-003	1.843249e-001
1.000004586519676e-003	1.843015e-001
1.000005200114888e-003	1.843825e-001
1.000006396564338e-003	1.848500e-001
1.000008316346995e-003	1.862701e-001
1.000011013115531e-003	1.893570e-001
1.000013749340193e-003	1.934228e-001
1.000016186391055e-003	1.972733e-001
1.000018838995737e-003	2.008276e-001
1.000021732892693e-003	2.036021e-001
1.000023764366028e-003	2.048809e-001
1.000026077165027e-003	2.058566e-001
1.000028555370483e-003	2.066532e-001
1.000031949477261e-003	2.075693e-001
1.000036082912236e-003	2.086142e-001
1.000042553485259e-003	2.102435e-001
1.000055183662488e-003	2.134240e-001
1.000070841565993e-003	2.172308e-001
1.000091437865080e-003	2.217272e-001
1.000132630463252e-003	2.282702e-001
1.000215015659597e-003	2.354505e-001
1.000256799682744e-003	2.367700e-001
1.000301573848569e-003	2.369583e-001
1.000349370747203e-003	2.370246e-001
1.000412286605223e-003	2.370378e-001
1.000489995267964e-003	2.370400e-001
1.000569910880445e-003	2.370380e-001
1.000680141806124e-003	2.370361e-001
1.001061720646798e-003	2.370355e-001
1.500000000000000e-003	2.370355e-001
1.500001000000000e-003	2.370359e-001
1.500001005804940e-003	2.371170e-001
1.500001017414820e-003	2.372556e-001
1.500001040634581e-003	2.374082e-001
1.500001069799027e-003	2.374091e-001
1.500001113398593e-003	2.372160e-001
1.500001171615248e-003	2.368969e-001
1.500001235197838e-003	2.366360e-001
1.500001289181111e-003	2.365365e-001
1.500001349663720e-003	2.364846e-001
1.500001439996998e-003	2.363964e-001
1.500001543074551e-003	2.363055e-001
1.500001644888042e-003	2.362508e-001
1.500001742292843e-003	2.362594e-001
1.500001854008491e-003	2.363532e-001
1.500001877886301e-003	2.363850e-001
1.500001925641919e-003	2.364548e-001
1.500002000000000e-003	2.365627e-001
1.500002004643324e-003	2.365419e-001
1.500002013929971e-003	2.365150e-001
1.500002032503266e-003	2.365150e-001
1.500002069649856e-003	2.365944e-001
1.500002143943035e-003	2.367767e-001
1.500002208276125e-003	2.368889e-001
1.500002280250655e-003	2.369640e-001
1.500002362554765e-003	2.370212e-001
1.500002443824451e-003	2.370638e-001
1.500002531969861e-003	2.371041e-001
1.500002619134952e-003	2.371428e-001
1.500002704245454e-003	2.371817e-001
1.500002815344142e-003	2.372324e-001
1.500002934104444e-003	2.372862e-001
1.500003089753870e-003	2.373611e-001
1.500003274007666e-003	2.374621e-001
1.500003557599517e-003	2.376476e-001
1.500003923444974e-003	2.379426e-001
1.500004369862683e-003	2.383965e-001
1.500004962939066e-003	2.391694e-001
1.500005867194556e-003	2.407311e-001
1.500007511091140e-003	2.445285e-001
1.500009819345489e-003	2.512581e-001
1.500011958167751e-003	2.582575e-001
1.500013971030824e-003	2.644645e-001
1.500016147425591e-003	2.697806e-001
1.500017855846636e-003	2.726918e-001
1.500019340095814e-003	2.743048e-001
1.500021114370095e-003	2.754979e-001
1.500023019485613e-003	2.762610e-001
1.500025342031797e-003	2.768020e-001
1.500028052280235e-003	2.772425e-001
1.500031701717838e-003	2.778400e-001
1.500036944475531e-003	2.789039e-001
1.500044647089341e-003	2.807180e-001
1.500053511801879e-003	2.828008e-001
1.500063564378010e-003	2.848324e-001
1.500081581438266e-003	2.874702e-001
1.500116596792961e-003	2.904070e-001
1.500159256780733e-003	2.918748e-001
1.500203873807846e-003	2.923164e-001
1.500254632922545e-003	2.924751e-001
1.500311562656206e-003	2.925287e-001
1.500385713826105e-003	2.925510e-001
1.500472800120025e-003	2.925618e-001
1.500559652251091e-003	2.925637e-001
1.500711189020302e-003	2.925662e-001
1.501184343187997e-003	2.925664e-001
1.994321194568316e-003	2.925663e-001
1.997169120659403e-003	2.925666e-001
1.997197120659401e-003	2.925656e-001
1.999999000000000e-003	2.925663e-001
2.000000000000000e-003	2.925662e-001
2.000000004585625e-003	2.925170e-001
2.000000013756875e-003	2.924378e-001
2.000000032099374e-003	2.923679e-001
2.000000068784372e-003	2.923886e-001
2.000000138364355e-003	2.925402e-001
2.000000247536928e-003	2.927523e-001
2.000000399866211e-003	2.929757e-001
2.000000491483565e-003	2.930841e-001
2.000000580839836e-003	2.931722e-001
2.000000653772309e-003	2.932292e-001
2.000000733949730e-003	2.932392e-001
2.000000789559227e-003	2.931400e-001
2.000000845433162e-003	2.929313e-001
2.000000904744167e-003	2.926916e-001
2.000000934270843e-003	2.925597e-001
2.000000993324194e-003	2.922486e-001
2.000001000000000e-003	2.922149e-001
2.000001001411172e-003	2.922553e-001
2.000001004233516e-003	2.923656e-001
2.000001009878203e-003	2.926099e-001
2.000001021167579e-003	2.930003e-001
2.000001043746329e-003	2.933853e-001
2.000001077360065e-003	2.933193e-001
2.000001120134863e-003	2.926906e-001
2.000001166847176e-003	2.918847e-001
2.000001209076691e-003	2.914231e-001
2.000001261448862e-003	2.912794e-001
2.000001312031968e-003	2.913401e-001
2.000001376441145e-003	2.914740e-001
2.000001448899926e-003	2.916643e-001
2.000001530473471e-003	2.919092e-001
